id,behoefte (need),need (EN),oplossing (solution),aanpassing als nodig (adapt if needed),bewijs (evidence),bron (source),kost (cost),zekerheid
N11,Contrast en licht,Contrast and light,Standaard zwart op wit; licht-op-donker als optie aanbieden.,"Sommige slechtzienden lezen 10–50 % sneller met lichte letters op een donkere achtergrond — laat de gebruiker kiezen, niet de theorie.",Meting bij subgroep slechtzienden; geen universele winst.,"Legge (2016), samenvatting contrastonderzoek",gratis,BEWEZEN (subgroep)
N12,Overzicht houden in een lange tekst,Keep the overview,"Koppen en structuur eerst, daarna de kern, dan de details; tabellen worden lijsten.","Zeer lange tekst: eerst een inhoudstafel van 4 punten, dan per punt verder.","60,8 % van de schermlezergebruikers navigeert lange pagina's eerst via koppen (16,6 % via zoeken, 13,2 % via links).",WebAIM Screen Reader Survey; Lindenwood review (33 AT-studies),gratis,BEWEZEN
N13,Voorlezen: is dat niet “minder”?,Is listening worse than reading?,Voorlezen is een gelijkwaardige weg: begrip is vergelijkbaar met lezen.,Vermoeit voorlezen of lukt het niet met de eigen stem: gewoon lezen. Voorkeur van de gebruiker beslist.,Meta-analyse over lezen versus luisteren: geen significant verschil in begrip; TTS gaf significant betere begripscores dan stil lezen bij zwakke lezers.,"“Listen Without Guilt” (Review of Educational Research, 2022); ATIA 2020 (TTS)",gratis,BEWEZEN
N14,Mijn stem wordt niet verstaan,My speech is not understood,Nooit stem als enige weg. Bij twijfel: bevestigingsvraag met 2 opties.,"Structureel probleem: gepersonaliseerde spraakherkenning (bv. Voiceitt, Personal Voice) — die kan beter scoren dan menselijke luisteraars.","Ernstige dysartrie: >49 % woorden fout bij alle commerciële systemen; milde dysartrie 3–5 % fout. Gepersonaliseerde systemen: 72,65 % versus 56,75 % bij menselijke luisteraars.",arXiv 2512.17474 (TORGO-benchmark); Frontiers in Rehabilitation Sciences 2026,betalend voor personalisatie,BEWEZEN
N15,Ik word snel moe,I tire quickly,"Maximaal 3 opties, één beslissing per keer, de agent neemt de tussenstappen over.","Slechte dag: alles korter, alleen ja/nee-vragen, en een expliciete stop.
","Pacing-literatuur bij ME/CVS en long covid: gepersonaliseerd, conservatief en met terugkoppeling; vermijdt gegevensoverload. Constante schakelaaractivering is te vermoeiend bij ALS.",ME/CFS-pacing literatuur 2024–2026; OHSU-studie (vermoeidheid),gratis,WAARSCHIJNLIJK
N16,Ik begrijp moeilijke woorden niet,I do not understand hard words,"Korte zinnen, weinig zinnen na elkaar, actieve stem — én de agent legt interactief uit en vraagt of het klopt.","Blijft het onduidelijk: “wil je dat ik het op een andere manier uitleg?” met 2 opties, en nooit blijven herhalen in dezelfde woorden.",Belangrijke nuance: systematische reviews vinden beperkt bewijs dat Easy Read het begrip verbetert; wat wél helpt is minder zinsdichtheid (betere inferentiële vragen) en begeleiding/mediation door een persoon of agent.,Fajardo e.a. 2014; Chinn & Homeyard 2017; Easy Read Review 2026 (PMC),gratis,BEWEZEN (genuanceerd)
N17,Cijfers en bedragen,Numbers and amounts,"Cijfers én woorden (“1.240 euro — duizend tweehonderd veertig euro”), één bedrag per regel.","Veel cijfers: eerst “wat dit voor jou betekent” in één regel, dan de cijfers als lijst.","Praktijkregel uit toegankelijke data-visualisatie: waarde in woorden én cijfers, geen tabel als enige vorm.",Datawrapper/AFB-richtlijnen; §3C van het hoofdbestand,gratis,WAARSCHIJNLIJK
N18,Ik moet onthouden wat er gezegd is,I have to remember everything,"De agent herhaalt de vraag en de gekozen stap vóór hij verder gaat, en geeft een blok “waar we zijn”.",Lange sessie: elke 5 minuten een blok met doel / gedaan / volgende.,Werkgeheugen en cognitieve toegankelijkheid (W3C COGA): herhaling en zichtbare status verminderen de last.,W3C COGA-gids 2021; U9 in §2,gratis,WAARSCHIJNLIJK
N19,Ik ben bang om iets verkeerd te doen,I am afraid to break something,Alles is omkeerbaar of stopbaar; nooit iets belangrijks zonder twee klikken bevestigen.,"Twijfel of angst: de agent doet niets, legt uit wat er zou gebeuren en wacht.",Vertrouwen en herstel van vertrouwen zijn de dominante factoren bij het gebruik van gespreksagenten in zorg en welzijn.,JMIR review (trust repair in health CAs),gratis,WAARSCHIJNLIJK
N20,"Hulp met rechten, uitkeringen, administratie",Help with rights and paperwork,Een chatbot met eigen documenten als bron: minder administratieve last en accuratere antwoorden dan zelf PDF's zoeken.,"Belangrijke aanvragen: altijd een mens erbij (diensten, mutualiteit, vakbond) — de agent zegt dat zelf.",Studie met 334 deelnemers: significant lagere administratieve last en hogere juistheid dan zoeken in originele PDF's; onderzoekers waarschuwen dat een mens nodig blijft voor wie de dienst echt moet krijgen.,University of Delaware 2026 (disability services chatbot),gratis,BEWEZEN
N21,Emotionele steun op een slechte dag,Emotional support,"De agent luistert, vat samen, stelt één vraag — kleine tot matige effecten op spanning.","Crisis: nooit doorpraten met de chatbot. Eerste regel mens, dan één nummer (1813, of 112).","Meta-analyse: klein tot matig effect op psychische spanning (SMD −0,35); 81,7 % van de vergelijkingen positief, maar slechts 35,8 % met een matig of groot effect.",JMIR 2025 (meta-analyse AI-chatbots); JMIR 2026 (scoping review),gratis,BEWEZEN (klein effect)
N22,Weinig opties kunnen kiezen,Few options only,"Standaard 3 opties, maximum 4, plus één open slot “anders”.","Keuzestress: 2 opties (ja/nee) en de agent kiest de rest, met “zeg ‘stop’ als dit niet goed is”.",Optie-aantal is de meest voorkomende faalwijze in gespreksinterfaces bij cognitieve beperking; scanning-onderzoek toont hogere cognitieve last bij meer items.,W3C COGA; switch-scanning literatuur,gratis,WAARSCHIJNLIJK
N23,Ik wil weten of het echt helpt,Does this really help?,Meten: aantal taken dat zonder hulp van een mens lukt.,Zakt het cijfer: terug naar de vorige versie van het bestand (§25 regressieregel).,Effectgroottes in de literatuur: kleine tot matige winst tegenover zelf zoeken; grote winst vooral in werklast en zelfstandigheid.,JMIR 2025/2026; UD 2026; SCI AT-review (kwaliteit van leven),gratis,BEWEZEN (bescheiden effect)
N24,De pagina eist slepen of vasthouden,The page demands dragging,"Melden als toegankelijkheidsfout en een alternatieve weg zoeken: knop, cijfer, of hulp van een mens.","Geen alternatief: audio-captcha, telefonische aanvraag, of een loket/hulplijn.",WCAG 2.2 SC 2.5.7 is verplicht voor nieuwe sites sinds 2025 in de EU (European Accessibility Act).,W3C WCAG 2.2; EAA (richtlijn 2019/882),gratis,BEWEZEN
N25,Ik kan niets installeren,I cannot install anything,"De agent werkt met wat er al is: chat, grote letters, cijfers. Installatie gebeurt door een helper of niet.","Als niets lukt: de helper zet ClickLock, Sticky Keys of Dwell Control één keer aan; daarna vraagt de gebruiker niets meer.","Alle genoemde systeemhulpmiddelen zijn gratis en ingebouwd in Windows, macOS, iOS en Android.",Microsoft/Apple toegankelijkheidsinstellingen,gratis,BEWEZEN
N26,De agent moet mij niet vermoeien met uitleg,Do not wear me out with explanations,"Geen beleefdheidsvulling, geen zelfintroductie, geen herhaling; niets nieuws = niets zeggen.","Vraagt de gebruiker om uitleg: dan één keer, kort, met een voorbeeld uit zijn eigen situatie.",Zwijgprotocol afgeleid van de AOA–MAO-architectuur; irritatie is energieverlies (Wet 3).,Interne bron: AOA–MAO v4.0 §4.5; §1A Wet 3,gratis,WAARSCHIJNLIJK
N27,Ik wil zelf iets kunnen kiezen zonder te typen,I want to choose without typing,"Genummerde opties, klikbaar en groot, plus het open slot “anders” dat ook “één woord” of “laat iemand het zeggen” aanvaardt.",Is er geen klikbare knop in het product: het cijfer als kort bericht (“2”) is geldig; nooit om een zin vragen.,Optie-vijf-regel uit de supervisor-checkpoint-specificatie; target size en label-in-name uit WCAG 2.5.3/2.5.8.,Interne bron: mens-in-de-lus specificatie §3; W3C WCAG 2.2,gratis,BEWEZEN
N28,"Ik wil vooruitgang zien, niet beloftes","Show progress, not promises",Zeggen wat je gaat doen → doen → zeggen dat het klaar is. Bij twijfel: zeg het.,"Duurt iets lang: één regel “nog bezig, ongeveer 20 seconden” in plaats van stilte of een spinner.",Bewijsplicht: elke feitelijke bewering heeft een bron of het label ONBEKEND (evidence ledger).,Interne bron: AOA–MAO v4.0 §4.3–4.4; §24.3 poort 2,gratis,WAARSCHIJNLIJK
